Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.835,0,1,21,58
1.8370000000000002,1,2,28,42
1.839,1,1,36,54
1.8410000000000002,1,1,28,48
1.843,1,2,32,54
1.8450000000000002,1,1,25,43
1.847,0,1,34,67
1.8490000000000002,0,4,31,54
1.851,0,3,22,41
1.8530000000000002,0,0,27,54
1.855,0,0,34,47
1.8570000000000002,1,5,34,52
1.859,0,0,30,45
1.8610000000000002,0,1,28,52
1.863,1,0,28,35
1.8650000000000002,1,1,22,51
1.867,0,1,37,51
1.8690000000000002,0,2,24,53
1.871,0,2,27,48
1.8730000000000002,0,0,21,56
1.875,0,0,32,46
1.8770000000000002,0,1,29,39
1.879,0,2,23,59
1.8810000000000002,0,2,24,42
1.883,0,2,34,50
1.8850000000000002,2,3,39,40
1.887,3,1,36,48
1.8890000000000002,1,0,39,42
1.891,0,3,29,44
1.8930000000000002,1,2,28,51
1.895,1,0,26,52
1.8970000000000002,0,4,27,54
1.899,2,4,35,31
1.9010000000000002,2,4,32,54
1.903,0,1,24,37
1.9050000000000002,0,0,26,44
1.907,1,1,25,50
1.9090000000000003,1,1,28,47
1.911,0,0,25,42
1.9130000000000003,0,0,31,44
1.915,0,0,28,41
1.9170000000000003,0,1,30,42
1.919,0,1,33,45
1.9209999999999998,0,0,21,36
1.923,1,0,26,49
1.9249999999999998,0,2,23,46
1.927,0,2,25,47
1.9289999999999998,1,0,28,40
1.931,1,0,23,38
1.9329999999999998,1,4,26,47
1.935,1,0,32,49
1.9369999999999998,0,3,24,38
1.939,0,1,37,39
1.9409999999999998,1,0,35,37
1.943,0,0,17,41
1.9449999999999998,0,0,34,45
1.947,1,0,25,48
1.9489999999999998,1,1,21,45
1.951,1,2,26,30
1.9529999999999998,1,0,30,37
1.955,0,0,20,38
1.9569999999999999,1,0,18,39
1.959,1,3,37,49
1.9609999999999999,0,0,20,39
1.963,0,0,31,46
1.9649999999999999,1,4,32,42
1.967,0,0,27,41
1.9689999999999999,2,1,20,48
1.971,0,1,30,36
1.9729999999999999,1,1,30,46
