Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.875000,1,5,1,37
1.877000,0,4,0,31
1.879000,1,4,0,42
1.881000,1,5,1,46
1.883000,0,5,0,38
1.885000,2,2,2,48
1.887000,1,2,1,44
1.889000,0,2,0,35
1.891000,2,1,2,36
1.893000,2,5,1,47
1.895000,0,2,1,36
1.897000,4,1,1,26
1.899000,2,3,0,38
1.901000,0,2,0,36
1.903000,1,1,0,34
1.905000,1,4,0,28
1.907000,0,3,0,32
1.909000,2,0,0,32
1.911000,0,1,1,49
1.913000,1,2,2,48
1.915000,1,5,0,43
1.917000,0,3,0,45
1.919000,4,1,2,42
1.921000,0,3,0,39
1.923000,0,2,1,32
1.925000,0,1,0,44
1.927000,2,5,0,35
1.929000,3,1,0,35
1.931000,1,3,0,54
1.933000,0,4,0,27
1.935000,2,3,1,36
1.937000,1,2,0,48
1.939000,4,1,2,27
1.941000,0,2,0,36
1.943000,1,4,0,51
1.945000,1,3,0,34
1.947000,1,7,0,38
1.949000,0,2,1,45
1.951000,0,1,0,26
1.953000,0,3,0,39
1.955000,0,1,0,38
1.957000,0,4,1,39
1.959000,0,0,0,37
1.961000,2,5,0,38
1.963000,0,1,0,37
1.965000,2,2,0,33
1.967000,0,3,0,33
1.969000,1,4,0,42
1.971000,1,1,0,43
1.973000,2,2,0,39
1.975000,2,2,0,27
1.977000,2,1,3,41
1.979000,0,6,2,40
1.981000,3,3,0,36
1.983000,1,3,1,30
1.985000,2,2,1,29
1.987000,0,3,1,34
1.989000,0,2,0,32
1.991000,1,1,0,48
1.993000,2,3,0,36
1.995000,0,4,0,30
1.997000,0,2,0,41
1.999000,0,3,1,39
2.001000,1,2,1,32
2.003000,1,2,1,38
2.005000,2,0,1,25
2.007000,2,5,1,45
2.009000,2,1,0,31
2.011000,1,2,1,21
2.013000,1,2,1,29
2.015000,3,3,2,41
2.017000,1,3,1,29
2.019000,1,4,0,31
2.021000,1,2,3,38
2.023000,0,2,0,30
2.025000,0,2,0,32
2.027000,1,1,0,33
2.029000,1,2,0,36
2.031000,3,4,0,30
2.033000,1,2,2,25
2.035000,1,5,2,34
2.037000,0,2,2,32
2.039000,1,1,0,38
2.041000,0,5,0,41
2.043000,0,3,1,24
2.045000,0,3,1,33
2.047000,0,3,1,34
2.049000,1,4,1,31
2.051000,1,1,2,36
2.053000,1,2,1,29
2.055000,1,1,0,23
2.057000,1,3,0,38
2.059000,2,3,1,26
2.061000,1,3,1,35
2.063000,2,2,2,41
2.065000,1,1,2,33
2.067000,0,4,1,36
2.069000,1,5,1,26
2.071000,1,2,1,37
2.073000,2,0,0,29
2.075000,2,2,0,30
2.077000,1,6,1,36
2.079000,1,2,0,28
2.081000,3,1,1,43
2.083000,1,4,1,33
2.085000,1,0,2,37
2.087000,0,4,0,45
2.089000,2,3,0,23
2.091000,0,3,0,29
2.093000,0,1,3,36
2.095000,1,4,0,34
2.097000,1,1,1,29
2.099000,1,3,0,37
2.101000,2,2,1,40
2.103000,1,2,0,30
2.105000,0,1,0,31
2.107000,1,2,2,32
2.109000,0,4,1,28
2.111000,0,1,1,20
2.113000,1,2,0,28
2.115000,1,2,0,33
2.117000,1,1,0,22
2.119000,0,1,0,38
2.121000,2,4,1,28
2.123000,0,3,1,27
2.125000,0,0,1,25
2.127000,1,2,1,35
